tag,0
rape,rape
hair salon owner,hair salon owner
hair designer,hair designer
hair salon,hair salon
enthusiastic male lead,enthusiastic male lead
customer,customer
internship,internship
hardworking female lead ,hardworking female lead 
showa era,showa era
japanese colonial rule ,japanese colonial rule 
magician male lead,magician male lead
police officer female lead,police officer female lead
ghost supporting character ,ghost supporting character 
beauty standards,beauty standards
female antagonist,female antagonist
friends to lovers ,friends to lovers 
swindler female lead,swindler female lead
stylist female lead,stylist female lead
psychopath supporting character,psychopath supporting character
heir male lead,heir male lead
hwaseong serial murders,hwaseong serial murders
enemy mine,enemy mine
mad dog ,mad dog 
heiress,heiress
popular female lead,popular female lead
internet celebrity,internet celebrity
secondary couple ,secondary couple 
slight romance ,slight romance 
adolescence,adolescence
love pentagon,love pentagon
liar female lead,liar female lead
separation at birth ,separation at birth 
disappearance,disappearance
influencer,influencer
baseball,baseball
sports ,sports 
tough female lead,tough female lead
slave male lead,slave male lead
mongol empire,mongol empire
historical figure,historical figure
pottery,pottery
edo period,edo period
gwanghae,gwanghae
cross-dressing ,cross-dressing 
innocent female lead,innocent female lead
abusive in laws,abusive in laws
screenwriter female lead,screenwriter female lead
investigator male lead,investigator male lead
serial killings,serial killings
misfortune,misfortune
injury,injury
conflict,conflict
stalking ,stalking 
swindler supporting character,swindler supporting character
loan shark female lead,loan shark female lead
heir/heiress supporting character,heir/heiress supporting character
false rumors,false rumors
selfish female lead ,selfish female lead 
supportive mother-in-law,supportive mother-in-law
cuddly couple,cuddly couple
skinship,skinship
"""stepsisters' relationship""","""stepsisters' relationship"""
self-sacrifice,self-sacrifice
pseudo incest,pseudo incest
step-siblings love ,step-siblings love 
slice of life,slice of life
poor family,poor family
emergency department,emergency department
espionage,espionage
ableism,ableism
autistic male lead,autistic male lead
savant syndrome,savant syndrome
social satire,social satire
emotional infidelity,emotional infidelity
useless father,useless father
psychiatrist,psychiatrist
emotional infidelity ,emotional infidelity 
dangerous love,dangerous love
prince male lead,prince male lead
discrimination,discrimination
child education,child education
sismance ,sismance 
detective supporting character,detective supporting character
detective female lead,detective female lead
catastrophy,catastrophy
nine-tailed fox,nine-tailed fox
shamanism ,shamanism 
dokkaebi,dokkaebi
heartfelt,heartfelt
true love ,true love 
gun fight,gun fight
thriller ,thriller 
goguryeo dynasty,goguryeo dynasty
